segundos,temp,hum,press,ohm
362,21.99,72.35,1010.25,15415.64
363,21.98,72.31,1010.21,15173.43
364,21.99,72.26,1010.25,15334.3
365,21.98,72.21,1010.23,15293.85
366,21.98,72.18,1010.25,15538.81
367,21.97,72.24,1010.23,15293.85
368,21.97,72.28,1010.26,15314.06
369,21.98,72.29,1010.26,15477.05
370,21.99,72.33,1010.28,15293.85
371,21.98,72.33,1010.28,15193.41
372,21.98,72.26,1010.26,15293.85
373,21.99,72.1,1010.29,15600.92
374,21.97,72.02,1010.25,15559.47
375,21.98,71.97,1010.27,15456.54
376,21.98,71.96,1010.28,15477.05
377,21.98,71.97,1010.29,15518.18
378,21.97,71.94,1010.27,15395.25
379,21.98,71.91,1010.28,15334.3
380,21.98,71.91,1010.32,15314.06
381,21.97,71.92,1010.28,15374.89
382,21.97,71.93,1010.28,15456.54
383,21.97,71.91,1010.22,15253.56
384,21.97,71.93,1010.26,15395.25
385,21.97,71.95,1010.27,15559.47
386,21.97,71.98,1010.3,15334.3
387,21.97,72.05,1010.33,15374.89
388,21.96,72.13,1010.27,15133.58
389,21.97,72.19,1010.32,15173.43
390,21.96,72.22,1010.27,15456.54
391,21.97,72.22,1010.3,15173.43
392,21.96,72.21,1010.29,15133.58
393,21.96,72.19,1010.28,15334.3
394,21.95,72.16,1010.29,15133.58
395,21.95,72.16,1010.3,15395.25
396,21.94,72.15,1010.27,15093.89
397,21.95,72.17,1010.27,15173.43
398,21.95,72.18,1010.28,15477.05
399,21.95,72.18,1010.28,15395.25
400,21.95,72.2,1010.3,15374.89
401,21.96,72.21,1010.28,15580.17
402,21.96,72.22,1010.3,15233.47
403,21.95,72.2,1010.29,15456.54
404,21.95,72.16,1010.28,15293.85
405,21.94,72.08,1010.25,15415.64
406,21.95,72.03,1010.25,15415.64
407,21.93,72,1010.25,15314.06
408,21.94,72,1010.28,15559.47
409,21.95,72,1010.23,15334.3
410,21.94,72.02,1010.28,15374.89
411,21.94,72,1010.26,15213.42
412,21.94,72,1010.24,15253.56
413,21.96,72.01,1010.3,15293.85
414,21.93,72.03,1010.27,15395.25
415,21.93,72.21,1010.28,15477.05
416,21.94,72.51,1010.26,15334.3
417,21.93,72.44,1010.25,15293.85
418,21.94,72.35,1010.28,15173.43
419,21.92,72.33,1010.25,15293.85
420,21.93,72.29,1010.26,15436.07
421,21.93,72.27,1010.27,15293.85
422,21.93,72.26,1010.25,15374.89
423,21.92,72.25,1010.27,15253.56
424,21.92,72.28,1010.26,15173.43
425,21.93,72.35,1010.29,15293.85
426,21.92,72.39,1010.26,15395.25
427,21.94,72.39,1010.27,15213.42
428,21.92,72.31,1010.24,15293.85
429,21.93,72.26,1010.24,15233.47
430,21.92,72.21,1010.25,15436.07
431,21.93,72.21,1010.27,15497.6
432,21.93,72.21,1010.26,15213.42
433,21.94,72.17,1010.28,15213.42
434,21.92,72.18,1010.29,15233.47
435,21.92,72.12,1010.24,15253.56
436,21.92,72.06,1010.27,15173.43
437,21.92,72.04,1010.29,15193.41
438,21.92,72.02,1010.25,15293.85
439,21.91,72.03,1010.26,15253.56
440,21.91,72.05,1010.32,15213.42
441,21.91,72.05,1010.29,15133.58
442,21.91,72.06,1010.25,15415.64
443,21.91,72.06,1010.24,15253.56
444,21.91,72.04,1010.28,15497.6
445,21.92,72.34,1010.27,15477.05
446,21.93,72.31,1010.29,15395.25
447,21.92,72.19,1010.28,15456.54
448,21.93,72.12,1010.27,15334.3
449,21.94,72.08,1010.28,15173.43
450,21.93,72.04,1010.25,15173.43
451,21.95,72.02,1010.31,15415.64
452,21.94,71.98,1010.26,15314.06
453,21.94,71.96,1010.3,15395.25
454,21.94,71.94,1010.28,15253.56
455,21.95,71.92,1010.24,15374.89
456,21.95,71.89,1010.28,15415.64
457,21.96,71.87,1010.3,15477.05
458,21.97,71.84,1010.31,15456.54
459,21.97,71.83,1010.33,15374.89
460,21.97,71.82,1010.31,15456.54
461,21.97,71.83,1010.29,15213.42
462,21.97,71.84,1010.3,15436.07
463,21.97,71.84,1010.26,15456.54
464,21.99,71.83,1010.28,15253.56
465,22,71.85,1010.31,15436.07
466,22,71.85,1010.33,15213.42
467,22.01,71.86,1010.33,15253.56
468,21.99,71.85,1010.33,15253.56
469,21.99,71.87,1010.31,15334.3
470,21.98,71.87,1010.34,15374.89
471,21.98,71.89,1010.3,15173.43
472,21.98,71.91,1010.3,15395.25
473,21.98,71.9,1010.3,15173.43
474,21.98,71.87,1010.33,15213.42
475,21.92,71.87,1010.28,15293.85
476,21.98,71.86,1010.32,15213.42
477,21.98,71.91,1010.31,15133.58
478,21.98,100,1010.34,15213.42
479,21.97,71.94,1010.31,15253.56
480,21.97,71.92,1010.29,15334.3
481,21.96,71.92,1010.33,15173.43
482,21.97,71.93,1010.31,15395.25
483,21.96,71.93,1010.33,15395.25
484,21.96,71.93,1010.35,15395.25
485,21.97,71.92,1010.35,15374.89
486,21.97,71.93,1010.34,15173.43
487,21.95,71.94,1010.33,15538.81
488,21.95,71.94,1010.34,15253.56
489,21.95,71.95,1010.33,15518.18
490,21.95,71.96,1010.32,15395.25
491,21.94,71.96,1010.32,15395.25
492,21.94,71.99,1010.31,15253.56
493,21.94,72.03,1010.32,15173.43
494,21.94,72.14,1010.32,15253.56
495,21.95,72.17,1010.34,15253.56
496,21.93,72.12,1010.33,15133.58
497,21.94,72.12,1010.31,15293.85
498,21.94,72.28,1010.35,15663.38
499,21.94,72.39,1010.35,15173.43
500,21.93,72.39,1010.33,15173.43
501,21.93,72.27,1010.34,15436.07
502,21.93,72.16,1010.33,15253.56
503,21.93,72.08,1010.35,15253.56
504,21.93,72.04,1010.32,15374.89
505,21.94,71.98,1010.36,15213.42
506,21.93,71.92,1010.34,15334.3
507,21.93,71.92,1010.33,15213.42
508,21.92,71.9,1010.34,15253.56
509,21.92,71.87,1010.31,15395.25
510,21.92,71.87,1010.31,15233.47
511,21.94,73.5,1010.31,15233.47
512,21.93,74.51,1010.32,15093.89
513,21.93,74.18,1010.36,15354.58
514,21.93,73.51,1010.36,15314.06
515,21.92,73.1,1010.34,15173.43
516,21.94,73.01,1010.35,15233.47
517,21.93,72.92,1010.33,15497.6
518,21.92,72.67,1010.33,15253.56
519,21.91,72.54,1010.29,15133.58
520,21.92,72.45,1010.34,15233.47
521,21.92,72.36,1010.37,15173.43
522,21.92,72.36,1010.34,15133.58
523,21.91,72.35,1010.32,15415.64
524,21.93,72.35,1010.32,15213.42
525,21.91,72.31,1010.35,15273.69
526,21.91,72.31,1010.34,15213.42
527,21.92,72.34,1010.34,15273.69
528,21.91,72.34,1010.33,15497.6
529,21.92,72.32,1010.38,15213.42
530,21.91,72.3,1010.32,15477.05
531,21.92,72.28,1010.35,15213.42
532,21.91,72.26,1010.3,15133.58
533,21.91,72.23,1010.35,15497.6
534,21.92,72.21,1010.34,15213.42
535,21.91,72.24,1010.34,15293.85
536,21.9,72.29,1010.28,15374.89
537,21.91,72.33,1010.3,15293.85
538,21.91,72.34,1010.33,15253.56
539,21.91,72.34,1010.32,15173.43
540,21.92,72.36,1010.36,15173.43
541,21.92,72.4,1010.35,15663.38
542,21.91,72.46,1010.34,15395.25
543,21.9,72.46,1010.33,15415.64
544,21.9,72.47,1010.32,15538.81
545,21.9,72.47,1010.35,15415.64
546,21.89,72.47,1010.34,15334.3
547,21.91,72.46,1010.36,15213.42
548,21.91,72.4,1010.37,15497.6
549,21.91,72.33,1010.34,15395.25
550,21.91,72.33,1010.33,15621.7
551,21.89,72.31,1010.3,15374.89
552,21.91,72.29,1010.35,15621.7
553,21.9,72.67,1010.34,15415.64
554,21.9,72.88,1010.37,15213.42
555,21.91,72.86,1010.35,15253.56
556,21.9,72.88,1010.36,15314.06
557,21.89,72.62,1010.35,15093.89
558,21.89,72.43,1010.35,15395.25
559,21.9,72.4,1010.35,15334.3
560,21.9,72.51,1010.38,15253.56
561,21.89,72.62,1010.31,15497.6
562,21.89,72.74,1010.33,15415.64
563,21.89,72.78,1010.3,15213.42
564,21.89,72.77,1010.32,15293.85
565,21.89,72.71,1010.35,15233.47
566,21.89,72.92,1010.32,15273.69
567,21.9,73.07,1010.33,15133.58
568,21.89,73.02,1010.33,15395.25
569,21.89,72.89,1010.36,15213.42
570,21.88,72.83,1010.35,15173.43
571,21.89,72.78,1010.38,15193.41
572,21.88,72.76,1010.34,15253.56
573,21.86,72.7,1010.33,15213.42
574,21.86,72.65,1010.35,15233.47
575,21.87,72.62,1010.34,15293.85
576,21.86,72.61,1010.34,15173.43
577,21.87,72.57,1010.34,15415.64
578,21.87,72.54,1010.36,15374.89
579,21.87,72.45,1010.35,15374.89
580,21.88,72.36,1010.35,15293.85
581,21.87,72.29,1010.33,15334.3
582,21.86,72.23,1010.35,15395.25
583,21.86,72.27,1010.32,15054.34
584,21.86,72.35,1010.31,14975.68
585,21.86,73.13,1010.3,15093.89
586,21.87,73.7,1010.36,14858.77
587,21.86,73.84,1010.35,14975.68
588,21.87,73.75,1010.33,15233.47
589,21.87,73.61,1010.35,15456.54
590,21.87,73.53,1010.37,15093.89
591,21.87,73.53,1010.37,15153.49
592,21.87,73.51,1010.31,15354.58
593,21.89,73.46,1010.35,15354.58
594,21.87,73.28,1010.37,15113.72
595,21.88,73.07,1010.36,15093.89
596,21.88,72.93,1010.38,15093.89
597,21.87,72.78,1010.35,15014.94
598,21.88,72.69,1010.39,15213.42
599,21.88,72.64,1010.38,15093.89
600,21.86,72.59,1010.34,15173.43
601,21.86,72.58,1010.34,15334.3
602,21.87,72.62,1010.34,15213.42
603,21.86,72.59,1010.36,15133.58
604,21.85,72.5,1010.32,15173.43
605,21.85,72.47,1010.36,15173.43
606,21.87,72.47,1010.38,15213.42
607,21.85,72.46,1010.35,15253.56
608,21.85,72.46,1010.35,15253.56
609,21.85,72.51,1010.39,15273.69
610,21.85,72.5,1010.34,15334.3
611,21.87,72.46,1010.35,15253.56
612,21.84,72.42,1010.32,15133.58
613,21.85,72.39,1010.35,15173.43
614,21.85,72.39,1010.35,15233.47
615,21.84,72.4,1010.34,15133.58
616,21.85,72.37,1010.34,15334.3
617,21.85,72.37,1010.36,15253.56
618,21.85,72.37,1010.36,15538.81
619,21.85,72.37,1010.36,15173.43
620,21.83,72.41,1010.31,15213.42
621,21.85,72.43,1010.34,15395.25
622,21.85,72.45,1010.33,15395.25
623,21.84,72.44,1010.34,15173.43
624,21.85,72.43,1010.39,15133.58
625,21.84,72.38,1010.31,15415.64
626,21.84,72.37,1010.35,15213.42
627,21.85,72.36,1010.34,15173.43
628,21.84,72.35,1010.35,15213.42
629,21.85,72.32,1010.35,15093.89
630,21.85,72.31,1010.34,15173.43
631,21.85,72.3,1010.37,15436.07
632,21.84,72.29,1010.34,15395.25
633,21.85,72.3,1010.36,15497.6
634,21.85,72.29,1010.35,15293.85
635,21.85,72.32,1010.36,15173.43
636,21.86,72.32,1010.35,15538.81
637,21.85,72.33,1010.36,15621.7
638,21.85,72.33,1010.35,15497.6
639,21.84,72.32,1010.36,15093.89
640,21.84,72.33,1010.36,15559.47
641,21.84,72.33,1010.36,15334.3
642,21.84,72.36,1010.34,15477.05
643,21.85,72.36,1010.36,15233.47
644,21.84,72.36,1010.33,15334.3
645,21.85,72.36,1010.35,15477.05
646,21.84,72.35,1010.34,15497.6
647,21.83,72.32,1010.33,15253.56
648,21.83,72.33,1010.32,15395.25
649,21.84,72.35,1010.35,15213.42
650,21.84,72.37,1010.34,15395.25
651,21.82,72.37,1010.35,15173.43
652,21.83,72.39,1010.34,15395.25
653,21.82,72.37,1010.29,15395.25
654,21.84,72.38,1010.35,15395.25
655,21.84,72.38,1010.37,15133.58
656,21.83,72.37,1010.36,15314.06
657,178.45,100,-132.66,15497.6
658,178.45,100,-132.66,15456.54
659,21.86,100,-132.66,15293.85
660,178.45,72.34,1010.31,15133.58
661,21.87,72.33,1010.33,15173.43
662,21.87,72.32,1010.34,15293.85
663,21.85,72.32,1010.33,15133.58
664,178.45,100,1276.99,15293.85
665,178.45,79.4,1010.32,15273.69
666,21.87,72.31,1010.3,15173.43
667,21.88,72.31,1010.33,15253.56
668,21.86,72.25,1010.34,15173.43
669,21.85,100,1010.36,15559.47
670,178.45,100,1263.66,15273.69
671,21.86,72.21,1010.33,15153.49
672,178.45,72.21,1010.33,15334.3
673,178.45,79.28,1010.37,15395.25
674,178.45,79.22,-108.39,15173.43
675,178.45,100,-108.4,15233.47
676,21.88,72.16,-132.66,15293.85
677,178.45,100,-132.66,15436.07
678,178.45,79.01,1263.66,15173.43
679,178.45,100,-132.66,15334.3
680,21.88,71.97,1010.34,15173.43
681,21.89,71.93,1010.34,15456.54
682,21.88,71.9,1010.32,15456.54
683,21.89,71.87,-108.4,15395.25
684,178.45,100,-132.66,15173.43
685,178.45,100,-132.66,15395.25
686,21.89,72,1010.36,15395.25
